Neighbourhood,Neighbourhood Id,Combined Indicators,Total Area,Total Population,Pop - Males,Pop - Females,Visible Minority Category,Labour Force Category,   In Labour Force,   Unemployed,   Not in Labour Force,Less than grade 9,With College Certificate/Diploma,With Bachelor Degree or Higher,High Shelter Costs,Owned Dwellings,Rented Dwellings,   Not a Visible Minority,Recent Immigrants,Tenant Average Rent,Average Family Income,After-Tax Household Income,Part-Time Employment,Low Income Families,Social Assistance Recipients,Low Income Population,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Rent Bank Applicants,Home Repairs Needed
West Humber-Clairville,1,N/A,30.09,"33,312.00","16,625.00","16,690.00","32,890.00","27,850.00","17,845.00","1,705.00","9,995.00","6,170.00","13,425.00","6,170.00","3,270.00","7,075.00","3,050.00","5,940.00","2,440.00",$945.00,"$72,820.00","$59,703.00","13,305.00","3,790.00","2,391.00","7,590.00",15.33923304,23.82,950.00,29.00,259.00,31.00,131.00,82.00,316.00,38.00,3.00,2.00,729.00,550.00,213.00,21.00,500.0
Mount Olive-Silverstone-Jamestown,2,N/A,4.60,"32,954.00","16,070.00","16,890.00","32,830.00","25,735.00","14,765.00","1,785.00","10,975.00","6,855.00","10,065.00","4,450.00","3,715.00","4,540.00","5,070.00","4,375.00","4,720.00",$921.00,"$57,411.00","$46,986.00",945.00,"5,010.00","5,525.00","11,540.00",19.53488372,37.57,"1,288.00",24.00,213.00,16.00,34.00,81.00,42.00,3.00,1.00,1.00,357.00,83.00,173.00,44.00,995.0
Thistletown-Beaumond Heights,3,N/A,3.40,"10,360.00","5,055.00","5,300.00","10,125.00","8,395.00","5,060.00",525.00,"3,335.00","1,970.00","3,980.00","1,690.00","1,065.00","2,080.00","1,145.00","3,615.00",720.00,$887.00,"$70,838.00","$57,522.00",527.00,"1,080.00","1,025.00","2,350.00",16.03773585,42.26,372.00,7.00,35.00,3.00,23.00,12.00,13.00,1.00,0.00,0.00,83.00,24.00,52.00,7.00,205.0
Rexdale-Kipling,4,N/A,2.50,"10,529.00","5,130.00","5,395.00","10,360.00","8,725.00","5,480.00",600.00,"3,240.00","2,095.00","4,085.00","1,620.00","1,185.00","2,010.00","1,935.00","4,990.00",625.00,$857.00,"$69,367.00","$51,194.00",515.00,"1,110.00","1,085.00","2,170.00",7.894736842,23.31,308.00,11.00,57.00,5.00,16.00,15.00,22.00,0.00,0.00,1.00,84.00,16.00,46.00,18.00,265.0
Elms-Old Rexdale,5,N/A,2.90,"9,456.00","4,520.00","4,935.00","9,445.00","7,640.00","4,635.00",465.00,"3,005.00","2,025.00","3,155.00","1,130.00","1,080.00","1,910.00","1,315.00","3,085.00",530.00,$966.00,"$61,196.00","$49,425.00",392.00,"1,190.00","1,367.00","2,790.00",9.782608696,24.71,358.00,9.00,53.00,2.00,9.00,14.00,16.00,0.00,0.00,0.00,89.00,38.00,64.00,12.00,350.0
Kingsview Village-The Westway,6,N/A,5.10,"22,000.00","10,575.00","11,420.00","21,980.00","17,745.00","10,265.00","1,020.00","7,475.00","4,395.00","8,075.00","3,720.00","2,730.00","3,975.00","3,675.00","8,835.00","1,830.00","$1,052.00","$68,145.00","$50,714.00",748.00,"2,800.00","3,742.00","6,760.00",15.63786008,35.69,553.00,12.00,110.00,6.00,34.00,22.00,42.00,5.00,2.00,2.00,257.00,130.00,118.00,19.00,665.0
Willowridge-Martingrove-Richview,7,N/A,5.50,"22,156.00","10,635.00","11,515.00","22,150.00","18,580.00","10,870.00",920.00,"7,715.00","3,760.00","9,935.00","5,265.00","2,645.00","4,605.00","3,540.00","13,270.00","1,210.00","$1,124.00","$79,241.00","$57,048.00",609.00,"1,610.00","1,757.00","3,490.00",14.68926554,30.46,762.00,6.00,88.00,6.00,32.00,38.00,48.00,4.00,0.00,0.00,272.00,75.00,123.00,18.00,565.0
Humber Heights-Westmount,8,N/A,2.80,"10,948.00","4,895.00","6,060.00","10,115.00","8,655.00","5,115.00",380.00,"3,540.00","1,620.00","4,805.00","2,340.00","1,325.00","2,585.00","1,350.00","7,365.00",345.00,"$1,041.00","$81,267.00","$54,919.00",315.00,820.00,587.00,"1,780.00",9.722222222,32.82,688.00,3.00,25.00,0.00,24.00,8.00,17.00,4.00,1.00,2.00,114.00,17.00,46.00,4.00,250.0
Edenbridge-Humber Valley,9,N/A,5.50,"15,535.00","7,305.00","8,235.00","15,190.00","13,075.00","8,420.00",510.00,"4,650.00","1,725.00","8,175.00","5,190.00","1,900.00","3,230.00","2,790.00","11,980.00",515.00,"$1,127.00","$119,581.00","$62,463.00",541.00,900.00,533.00,"1,660.00",7.01754386,46.41,0.00,3.00,26.00,6.00,46.00,3.00,29.00,1.00,0.00,0.00,96.00,29.00,56.00,7.00,390.0
Princess-Rosethorn,10,N/A,5.20,"11,051.00","5,430.00","5,620.00","11,045.00","9,280.00","5,875.00",355.00,"3,395.00","1,085.00","6,315.00","4,480.00",750.00,"3,290.00",595.00,"8,945.00",270.00,"$1,194.00","$144,943.00","$93,391.00",425.00,460.00,158.00,950.00,4.651162791,39.52,0.00,4.00,25.00,6.00,33.00,20.00,24.00,3.00,1.00,0.00,88.00,39.00,60.00,1.00,220.0
Eringate-Centennial-West Deane,11,N/A,8.60,"18,588.00","8,915.00","9,670.00","18,525.00","15,895.00","10,105.00",750.00,"5,795.00","2,645.00","9,240.00","4,915.00","1,555.00","5,840.00","1,060.00","13,395.00",350.00,"$1,108.00","$88,741.00","$69,740.00",713.00,"1,060.00",669.00,"2,130.00",10.95890411,10.43,0.00,7.00,52.00,5.00,28.00,15.00,29.00,5.00,0.00,1.00,121.00,168.00,65.00,6.00,440.0
